m01,	2.5R(赤),	360E1F,571D2E,75333D,9C4551,BE1547,B86168,DC405D,B68A8B,E1757C,FF406C,E09EA0,FF7B8A,FDB9B9,FFDADA
m02,	5R(赤),		370E1B,581D28,763436,914E4D,B3303A,AC6966,D34D51,F4083D,D47D79,FB6163,E29E99,FF8682,FFB1AA,F4E2DF
m03,	7.5R(赤),	380E17,581E22,812B27,914E47,B2322B,AC695F,C6594B,F0201E,C78479,FF4B33,E29FE2,FF8870,FFB29E,FFDACF
m04,	10R(赤),	380E12,581F1A,802D1E,90503F,AF3812,9D7063,D74D12,C78570,FF6114,E3A089,FF8449,EFC0B0,FFAD83,FFDAC9
m05,	2.5YR(黄赤),380F0A,572111,723820,8E5237,A0470F,9C715F,C75C0F,C58668,E6762F,D2A691,FF9148,EFC1AA,FFB174,FFDBC2
m06,	5YR(黄赤),	2C1810,4B2917,6E3B19,805840,92501B,9A7359,B86619,C2895F,DD7D15,D0A78B,F39B4F,ECC2A4,FFB24D,FFDDBB
m07,	7.5YR(黄赤),2B190D,482B12,624226,865728,987455,AB6D27,B38E6E,CF8524,DAA671,F39D1C,E9C49F,FFB73C,FFDFB6,FFD988
m08,	10YR(黄赤),	291A0A,452D0D,644108,7A5C36,9D7337,AE9068,C68A10,BEAD97,DCA650,E4C69A,F8C168,FFBD28,F4E3CA,FFD198
m09,	2.5Y(黄),	261B07,412E07,524734,755E33,977630,AA9264,B88F2C,C5AD7D,D9A323,DFC896,EFC561,FBC30A,FBE4AC,FFE177
m10,	5Y(黄),		241C07,3E3002,55471E,745F15,8A7A49,9D957A,AA9445,BEAF79,CEAE0F,D9CA92,E4CA5A,F5E6A9,FFE670,FFE51D
m11,	7.5Y(黄),	211D09,3A3200,4D4934,6B6230,897C29,9F9660,A6971D,B5B093,C1B13D,D5CC91,DFCD30,F0E808,F8E86D,FEE90C
m12,	10Y(黄),	1E1E0C,353304,4A4A35,666430,7E7C63,827E2A,9A9861,9E991D,B3B193,B7B35D,D0CD91,D4CF56,ECE9A8,F2EC4A
m13,	2.5GY(黄緑),1B1E0F,2F350C,474A36,5F6534,788130,949A63,929D24,AEB662,ACB90B,CACF93,C8D35C,E6EBA9,E4EE6F,E2F10D
m14,	5GY(黄緑),	191F12,293613,3B4F0B,596738,738151,6A8517,8D9B67,84A032,A4B868,9CBC27,C4D097,BCD564,E0ECAC,D0F629
m15,	7.5GY(黄緑),062302,22371A,384F2C,456B2E,6A8259,56882F,7AA05D,65A62B,95BB75,76C425,B7D39F,9CDD5E,C9F39F,B6FA6F
m16,	10GY(黄緑),	141F17,1C3820,315033,386D39,628460,428B61,6DA268,4AA948,95B98F,51C84D,A0D997,55E74F,C8F1BF,50FF4B
m17,	2.5G(緑),	132018,153826,29503A,246E48,5A8568,228C56,5FA476,14AB64,8CBA99,63C385,91DBA6,62E391,D0EDD6,54FF9B
m18,	5G(緑),		112019,113829,24513E,3B6B55,3B8968,55A480,87BBA0,54C494,B4D1C0,87DCB2,43E4A6,CEEDDA,9CF9CA,59FFBD
m19,	7.5G(緑),	10201B,0D382C,205142,386B59,688076,34896E,69A038,23A883,84BBA4,4AC49C,9DD6BE,64E0B5,B4F3D8,48FFC9
m20,	10G(緑),	0F201C,07392F,1B5145,356B5D,678078,2F8974,66A08F,0BA98B,82BBA9,40C4A4,9BD7C2,5CE0BD,B2F3DD,33FFD4
m21,	2.5BG(青緑),0E201E,003833,17514A,316B62,4D857A,7F9B94,46A593,80BBAD,36C4AC,98D7C6,55E0C5,CBEDE3,8EF9E0,0FFFDF
